date,ID,time.st.dead.shotg,shotg.rnds.fired,time.st.dead.rifle,rifle.rnds.fired,purs2death,groupsize
2/10/2022,1,18.51,7,,,58.58,1
2/10/2022,2,9.23,4,,,31.34,2
2/10/2022,3,11.45,4,,,23.33,1
2/10/2022,4,7.41,3,,,33.35,2
2/10/2022,5,29.58,4,,,52.6,3
2/10/2022,6,3.8,2,,1,17.98,1
2/10/2022,7,20.54,9,,,54,1
2/10/2022,8,2.64,2,,,86,2
2/10/2022,9,7.56,3,,,24.45,1
2/10/2022,10,13.84,4,,,45.67,2
2/10/2022,11,4.65,2,,,64.53,3
2/10/2022,12,2.87,2,,,14.58,1
2/10/2022,13,3.4,2,,,33.32,2
2/10/2022,14,4.01,3,,,52.01,3
2/10/2022,15,4.12,2,,,83.21,4
2/10/2022,16,11.9,3,,,22.56,1
2/10/2022,17,8.11,2,,,31.13,2
2/10/2022,18,13.45,3,,,57.2,3
2/10/2022,19,4.5,3,,,13.92,1
2/10/2022,20,19.86,10,,,54,2
2/10/2022,21,3.34,4,,,120.2,3
2/10/2022,22,6.75,2,,,32.54,1
2/10/2022,23,12.08,5,,,52.55,2
2/10/2022,24,9.93,3,,,91.25,3
2/10/2022,25,9.22,3,,,32.31,1
2/10/2022,26,14.12,3,,2,61.2,2
2/10/2022,27,3.06,3,,,80.32,3
2/10/2022,28,10.89,6,,,158.96,4
2/10/2022,29,12.17,4,,,21.5,1
2/10/2022,30,7.79,6,,,46.16,2
2/10/2022,31,5.65,4,,,66.43,3
2/10/2022,32,11.5,3,,,17.12,1
2/10/2022,33,31.93,8,,1,78.67,2
2/10/2022,34,14.8,5,,,111.2,3
2/10/2022,35,8.18,4,,,32.01,1
2/10/2022,36,6.14,5,,,64.56,2
2/10/2022,37,14.54,4,,,51.92,1
2/10/2022,38,3.12,2,,,89.43,2
2/10/2022,39,4.5,2,,,14.45,3
2/10/2022,40,17.56,8,,,56,1
2/10/2022,41,3.88,2,,,83.11,1
2/10/2022,42,13.09,4,,,23.17,1
2/10/2022,43,8.81,3,,,35.37,2
2/10/2022,44,15.5,3,,,62.6,3
2/10/2022,45,22.85,3,,1,50.3,1
2/10/2022,46,11.05,2,,,33.13,1
2/10/2022,47,11.4,4,,,21.8,1
2/10/2022,48,13.22,2,,,47.25,2
2/10/2022,49,5.64,3,,,56.72,3
2/10/2022,50,13.06,3,,,23.5,1
2/10/2022,51,5.61,2,,,45.44,2
2/10/2022,52,7.46,4,,,46.7,3
2/10/2022,53,20.56,4,,1,42.77,1
2/10/2022,54,10.59,2,,,34.66,1
2/10/2022,55,13.4,3,,,25.4,1
2/10/2022,56,9.67,2,,,37.56,2
2/10/2022,57,5.64,3,,,49.32,3
2/10/2022,58,14.14,3,,,85.86,4
4/10/2022,59,16.51,6,,,48.58,1
4/10/2022,60,10.29,5,,,34.83,1
4/10/2022,61,12.06,4,,,24.67,1
4/10/2022,62,7.81,3,,,30.37,1
4/10/2022,63,27.46,3,,,42.6,1
4/10/2022,64,23.65,4,,1,42.35,1
4/10/2022,65,17.14,3,,,35.86,1
4/10/2022,66,2.61,2,,,15.95,2
4/10/2022,67,3.9,2,,,30.97,3
4/10/2022,68,3.98,3,,,51.92,4
4/10/2022,69,3.12,2,,,84.24,5
4/10/2022,70,17.08,7,,,53.44,1
4/10/2022,71,10.93,4,,,84.9,2
4/10/2022,72,9.18,2,,,34.18,1
4/10/2022,73,13.73,3,,2,71.2,2
4/10/2022,74,3.08,2,,,60.5,3
4/10/2022,75,9.52,6,,,110.8,4
4/10/2022,76,11.88,7,,,23.3,1
4/10/2022,77,8.57,6,,,34.21,1
4/10/2022,78,8.52,4,,,64.3,2
4/10/2022,79,11.5,3,,,19.12,1
4/10/2022,80,32.03,9,,1,77.2,2
4/10/2022,81,35.9,5,,,80,1
4/10/2022,82,7.09,5,,,57.1,1
4/10/2022,83,5.19,3,,,61.37,2
4/10/2022,84,10.01,2,,,37.78,1
4/10/2022,85,13.4,3,,,21.4,2
4/10/2022,86,33.22,2,,,37.95,3
4/10/2022,87,5.64,3,,,46.32,4
4/10/2022,88,3.5,2,,,15.75,1
4/10/2022,89,19.86,9,,,52,2
4/10/2022,90,2.64,2,,,88,3
4/10/2022,91,8.98,2,,,23.45,1
4/10/2022,92,14.81,2,,,41.66,2
4/10/2022,93,3.91,3,,,62.3,3
4/10/2022,94,9.67,7,,,95.2,4
5/10/2022,95,9.03,2,,,37.78,1
5/10/2022,96,12.1,3,,,24.44,2
5/10/2022,97,5.22,4,,,54.45,3
5/10/2022,98,5.55,4,,,66.56,4
5/10/2022,99,5.79,2,,,21.89,1
5/10/2022,100,11.4,3,,,42.6,2
5/10/2022,101,13.13,3,,,64.56,3
5/10/2022,102,5.94,3,,,16.37,1
5/10/2022,103,7.81,4,,,40.37,2
5/10/2022,104,23.46,5,,,45.7,1